,X,STUDY_ID,REVIEWERS,INCLUDE,TITLE,AUTHORS,PMID,YEAR,DOI,JOURNAL,LANGUAGE,COUNTRY,ABSTRACT
1,3,3,Elena,NO,Severe Influenza With Invasive Pulmonary Aspergillosis in Immunocompetent Hosts: A Retrospective Cohort Study.,"Duan, Y",33537328,2021,10.3389/fmed.2020.602732,Front Med (Lausanne),eng,Switzerland,Background: Influenza was an independent risk factor for invasive pulmonary aspergillosis (IPA). In light of increasing incidence and mortality of influenza associated aspergillosis  our study summarized risk factors  clinical characteristics  and prognostic factors of developing aspergillosis in immunocompetent hosts with influenza to further screen high-risk population and improve outcome. Methods: We reviewed the patient characteristics  laboratory examinations  radiological imaging  and microbiology data of 72 influenza patients with IPA and 84 influenza patients without IPA admitted to West China Hospital. Result: Our study shown that aspergillosis co-infection increased overall mortality of severe influenza from 22.6 to 52.8%  along with higher white blood count (WBC) (10.9 ± 5.0 vs. 8.4 ± 3.3  P = 0.016)  Neutrophiles (9.5 ± 5.0 vs. 7.0 ± 3.8  P = 0.023)  procalcitonin (PCT) (8.6 ± 15.9 vs. 1.2 ± 2.1  P = 0.009)  and a lower CD4+ T cell count (189.2 ± 135.3 vs. 367.1 ± 280.0  P = 0.022) in death group. No impact of age  gender  underlying diseases  immunosuppressive agents and steroids use  CD4+ T cell count on incidence of influenza associated aspergillosis was observed. But influenza associated aspergillosis cases mostly accompanied with more H1N1 subtype (91.7 vs. 79.8%  P = 0.037) and higher level of C-reactive protein (CRP) (117.6 ± 88.1 vs. 78.5 ± 75.2  P = 0.017) and interleukin 6 (IL-6) (133.5 ± 149.2 vs. 69.9 ± 100.0  P = 0.021) than those without aspergillosis. Conclusion: Aspergillosis co-infection in severe influenza patients can lead to a significant increased mortality  which was associated with severe respiratory failure due to mixed infection and immunosuppression. Pulmonary excessive inflammatory response was related with IPA co-infection.
2,10,10,Elena,YES,Risks of ventilator-associated pneumonia and invasive pulmonary aspergillosis in patients with viral acute respiratory distress syndrome related or not to Coronavirus 19 disease.,"Razazi, K",33339526,2020,10.1186/s13054-020-03417-0,Crit Care,eng,England,"                 Label=""BACKGROUND"":Data on incidence of ventilator-associated pneumonia (VAP) and invasive pulmonary aspergillosis in patients with severe SARS-CoV-2 infection are limited.                 Label=""METHODS"":We conducted a monocenter retrospective study comparing the incidence of VAP and invasive aspergillosis between patients with COVID-19-related acute respiratory distress syndrome (C-ARDS) and those with non-SARS-CoV-2 viral ARDS (NC-ARDS).                 Label=""RESULTS"":We assessed 90 C-ARDS and 82 NC-ARDS patients  who were mechanically ventilated for more than 48 h. At ICU admission  there were significantly fewer bacterial coinfections documented in C-ARDS than in NC-ARDS: 14 (16%) vs 38 (48%)  p<U+2009>&lt;<U+2009>0.01. Conversely  significantly more patients developed at least one VAP episode in C-ARDS as compared with NC-ARDS: 58 (64%) vs. 36 (44%)  p<U+2009>=<U+2009>0.007. The probability of VAP was significantly higher in C-ARDS after adjusting on death and ventilator weaning [sub-hazard ratio<U+2009>=<U+2009>1.72 (1.14-2.52)  p<U+2009>&lt;<U+2009>0.01]. The incidence of multi-drug-resistant bacteria (MDR)-related VAP was significantly higher in C-ARDS than in NC-ARDS: 21 (23%) vs. 9 (11%)  p<U+2009>=<U+2009>0.03. Carbapenem was more used in C-ARDS than in NC-ARDS: 48 (53%)  vs 21 (26%)  p<U+2009>&lt;<U+2009>0.01. According to AspICU algorithm  there were fewer cases of putative aspergillosis in C-ARDS than in NC-ARDS [2 (2%) vs. 12 (15%)  p<U+2009>=<U+2009>0.003]  but there was no difference in Aspergillus colonization.                 Label=""CONCLUSIONS"":In our experience  we evidenced a higher incidence of VAP and MDR-VAP in C-ARDS than in NC-ARDS and a lower risk for invasive aspergillosis in the former group. "
3,11,11,Elena,YES,Risk factors associated with COVID-19-associated pulmonary aspergillosis in ICU patients: a French multicentric retrospective cohort.,"Dellière, S",33316401,2020,10.1016/j.cmi.2020.12.005,Clin Microbiol Infect,eng,England,"                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":The main objective of this study was to determine the incidence of invasive pulmonary aspergillosis (IPA) in patients with coronavirus disease 2019 (COVID-19) admitted to the intensive care unit (ICU)  and to describe the patient characteristics associated with IPA occurrence and to evaluate its impact on prognosis.                 Label=""METHODS"" NlmCategory=""METHODS"":We conducted a retrospective cohort study including all successive COVID-19 patients  hospitalized in four ICUs  with secondary deterioration and one or more respiratory samples sent to the mycology department. We used a strengthened IPA testing strategy including seven mycological criteria. Patients were classified as probable IPA according to the European Organization for Research and Treatment of Cancer (EORTC)/Mycoses Study Group Education and Research Consortium (MSGERC) classification if immunocompromised  and according to the recent COVID-19-associated IPA classification otherwise.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Probable IPA was diagnosed in 21 out of the 366 COVID-19 patients (5.7%) admitted to the ICU and in the 108 patients (19.4%) who underwent respiratory sampling for deterioration. No significant differences were observed between patients with and without IPA regarding age  gender  medical history and severity on admission and during hospitalization. Treatment with azithromycin for =3 days was associated with the diagnosis of probable IPA (odds ratio 3.1  95% confidence interval 1.1-8.5  p = 0.02). A trend was observed with high-dose dexamethasone and the occurrence of IPA. Overall mortality was higher in the IPA patients (15/21  71.4% versus 32/87  36.8%  p &lt; 0.01).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":IPA is a relatively frequent complication in severe COVID-19 patients and is responsible for increased mortality. Azithromycin  known to have immunomodulatory properties  may contribute to increase COVID-19 patient's susceptibility to IPA. "
4,15,15,Elena,YES,Risk Factors for Invasive Pulmonary Aspergillosis in Critically Ill Patients With Coronavirus Disease 2019-Induced Acute Respiratory Distress Syndrome.,"Chauvet, P",33205046,2020,10.1097/CCE.0000000000000244,Crit Care Explor,eng,United States,Severe coronavirus disease 2019 pneumonia can lead to acute respiratory distress syndrome. Recently  several publications reported on coronavirus disease 2019-associated pulmonary aspergillosis. However  risk factors remain unclear. We retrospectively collected all the cases of coronavirus disease 2019 acute respiratory distress syndrome patients (n = 46) admitted to our 34-bed ICU between March 24  2020  and May 25  2020  and identified six patients that met the diagnosis of invasive pulmonary aspergillosis according to previously established definitions. This population exhibited higher severity scores at admission and less hospital discharge compared with noninvasive pulmonary aspergillosis patients. Chronic obstructive pulmonary disease  malnutrition  and systemic corticosteroid use were identified as risk factors for invasive pulmonary aspergillosis in coronavirus disease 2019-induced acute respiratory distress syndrome patients. Coronavirus disease 2019-associated pulmonary aspergillosis may be a serious concern regarding corticosteroids use to control the inflammatory response of coronavirus disease 2019-induced acute respiratory distress syndrome.
5,20,20,Elena,NO,Invasive Pulmonary Aspergillosis in Patients with SARS-CoV-2 Infection: A Systematic Review of the Literature.,"Apostolopoulou, A",33050499,2020,10.3390/diagnostics10100807,Diagnostics (Basel),eng,Switzerland,In this systematic review  we investigate the epidemiology  pathogenesis  risk factors  clinical manifestations  diagnosis and treatment of COVID-19-associated pulmonary aspergillosis (CAPA). We identified 85 cases from 22 studies. The frequency of CAPA is currently unknown but ranges between &lt;5% to &gt;30% in different case series; the possibility of colonization rather than invasive disease is the most important confounder. The vast majority of patients with CAPA did not have any of the classic host risk factors  such as immunosuppression from organ transplant or neutropenia  although a significant proportion (46%) had received corticosteroids. Age  pulmonary comorbidities and male sex were associated with higher mortality. Patients treated with voriconazole had numerically lower case-fatality rate. Clinical vigilance for CAPA is advisable in critically ill patients with COVID-19 who are not improving  even those who do not meet classic host criteria for invasive mycoses  especially if they are receiving corticosteroids. A thorough  multi-faceted diagnostic work-up and early initiation of a mold-active triazole may be lifesaving. Further research studies using standardized  uniform definitions of invasive disease and colonization are urgently needed.
6,25,25,Elena,NO,Short course of voriconazole therapy as a risk factor for relapse of invasive pulmonary aspergillosis.,"Shin, DH",32999399,2020,10.1038/s41598-020-73098-w,Sci Rep,eng,England,To investigate associations of the duration of voriconazole treatment and radiological response with relapse of invasive pulmonary aspergillosis (IPA) in immunocompromised patients  we explored the risk factors for IPA relapse after successful initial treatment. All patients with proven or probable IPA who had finished voriconazole treatment between 2005 and 2019 in a tertiary-care hospital were reviewed. IPA relapse was defined as re-diagnosis of proven or probable IPA at the same site within 1 year after treatment termination. Short course of voriconazole treatment was defined as a treatment less than 9 weeks  which is a median of the recommended minimum duration of therapy from the Infectious Disease Society of America. The radiological response was defined as a reduction in IPA burden by more than 50% on chest computed tomography. Of 87 patients who had completed voriconazole treatment  14 (16.1%) experienced IPA relapse. Multivariable Cox regression identified that short voriconazole treatment duration (adjusted hazard ratio [aHR]  3.7; 95% confidence interval [CI]  1.1-12.3; P<U+2009>=<U+2009>0.033) and radiological non-response (aHR  4.6; 95% CI  1.2-17.5; P<U+2009>=<U+2009>0.026) were independently associated with relapse of IPA after adjusting for several clinical risk factors. Longer duration of therapy should be considered for those at higher risk of relapse.
7,27,27,Elena,YES,Preliminary Attempt to Predict Risk of Invasive Pulmonary Aspergillosis in Patients with Influenza: Decision Trees May Help?,"Bellelli, V",32993060,2020,10.3390/antibiotics9100644,Antibiotics (Basel),eng,Switzerland,Invasive pulmonary aspergillosis (IPA) is typically considered a disease of immunocompromised patients  but  recently  many cases have been reported in patients without typical risk factors. The aim of our study is to develop a risk predictive model for IPA through machine learning techniques (decision trees) in patients with influenza. We conducted a retrospective observational study analyzing data regarding patients diagnosed with influenza hospitalized at the University Hospital &quot;Umberto I&quot; of Rome during the 2018-2019 season. We collected five IPA cases out of 77 influenza patients. Although the small sample size is a limit  the most vulnerable patients among the influenza-infected population seem to be those with evidence of lymphocytopenia and those that received corticosteroid therapy.
8,30,30,Elena,YES,Invasive pulmonary aspergillosis in immunocompetent patients hospitalised with influenza A-related pneumonia: a multicenter retrospective study.,"Chen, L",32907585,2020,10.1186/s12890-020-01257-w,BMC Pulm Med,eng,England,"                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Increasing cases of pulmonary aspergillosis (IPA) in immunocompetent patients with severe influenza have been reported. Howevere  the risk factors for occurence and death are largely unknown.                 Label=""METHODS"" NlmCategory=""METHODS"":Data of hospitalised patients with influenza A-related pneumonia (FluA-p) obtained from five teaching hospitals from 2031 to 2018  were reviewed. Univariate and multivariate logistical regression analyses were performed to determine the risk factors involved in the acquisition and 60-day mortality in IPA patients.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Of the 693 FluA-p patients included in the study  3.0% (21/693) were IPA patients with a 60-day mortality of 42.9% (9/21). Adjusted for confounders  a Cox proportional hazard model showed that IPA was associated with increased risk for 60-day mortality [hazard ratio (HR) 4.336  95% confidence interval (CI) 1.191-15.784  p<U+2009>=<U+2009>0.026] in FluA-p patients. A multivariate logistic regression model confirmed that age (odd ratio (OR) 1.147  95% CI 1.048-1.225  p<U+2009>=<U+2009>0.003)  systemic corticosteroids use before IPA diagnosis (OR 33.773  95% CI 5.681-76.764  p<U+2009>&lt;<U+2009> 0.001)  leukocytes &gt;<U+2009>10<U+2009>×<U+2009>109/L (OR 1.988  95% CI 1.028-6.454  p<U+2009>=<U+2009>0.029) and lymphocytes &lt;<U+2009>0.8<U+2009>×<U+2009>109/L on admission (OR 34.813  95% CI 1.676-73.006  p<U+2009>=<U+2009>0.022)  were related with the acquisition of IPA. Early neuraminidase inhibitor use (OR 0.290  95% CI 0.002-0.584  p<U+2009>=<U+2009>0.021) was associated with a decreased risk for a 60-day mortality in IPA patients.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Our results showed that IPA worsen the clinical outcomes of FluA-p patients. The risk factors for the acquisition and death were helpful for the clinicians in preventing and treating IPA. "
9,47,47,Elena,NO,COVID-19-associated pulmonary aspergillosis (CAPA) in patients admitted with severe COVID-19 pneumonia: An observational study from Pakistan.,"Nasir, N",32585069,2020,10.1111/myc.13135,Mycoses,eng,Germany,"                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Invasive aspergillosis is a well-known complication of severe influenza pneumonia with acute respiratory distress syndrome (ARDS). However  recent studies are reporting emergence of aspergillosis in severe COVID-19 pneumonia  named as COVID-19-associated pulmonary aspergillosis (CAPA).                 Label=""METHODS"" NlmCategory=""METHODS"":A retrospective observational study was conducted in patients with severe COVID-19 pneumonia from February 2020 to April 2020. Patients =18 years of age with clinical features and abnormal chest imaging with confirmed COVID-19 by RT-PCR for SARS-CoV-2 were included. CAPA was diagnosed based on clinical parameters  radiological findings and mycological data. Data were recorded on a structured proforma  and descriptive analysis was performed using Stata ver 12.1.                 Label=""RESULTS"" NlmCategory=""RESULTS"":A total of 147 patients with confirmed COVID-19 and 23 (15.6%) patients requiring ICU admission were identified. Aspergillus species were isolated from tracheal aspirates of nine (39.1%) patients  and of these  five patients (21.7%) were diagnosed with CAPA and four (17.4%) had Aspergillus colonisation. The mean age of patients with CAPA was 69 years (Median age: 71  IQR: 24  Range: 51-85)  and 3/5 patients were male. The most frequent co-morbid was diabetes mellitus (4/5). The overall fatality rate of COVID-19 patients with aspergillosis was 44% (4/9). The cause of death was ARDS in all three patients with CAPA  and the median length of stay was 16 days (IQR: 10; Range 6-35 days).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":This study highlights the need for comparative studies to establish whether there is an association of aspergillosis and COVID-19 and the need for screening for fungal infections in severe COVID-19 patients with certain risk factors. "
10,48,48,Elena,NO,Low Rate of Invasive Fungal Infections During Induction and Consolidation Chemotherapy for Adults with De Novo Acute Myeloid Leukemia Without Anti-mold Prophylaxis: Single-Center 2002-2018 Empirical/Pre-emptive Approach.,"Martino, R",32564177,2020,10.1007/s11046-020-00461-w,Mycopathologia,eng,Netherlands,Broad-spectrum antifungal prophylaxis is currently considered the standard of care for adults with de novo AML for the prevention of invasive fungal infections (IFIs)  especially invasive pulmonary aspergillosis (IPA). Because fluconazole has been used in our center as anti-yeast prophylaxis  we sought to analyze in detail the incidence of IFIs over a 17-year period  as well as their impact on outcome. A standardized protocol of patient management  including serum galactomannan screening and thoracic CT-guided diagnostic-driven antifungal therapy  was used in all patients. A total of 214 consecutive adults with de novo AML who were treated in 3 CETLAM (Grupo Cooperativo para el Estudio y Tratamiento de las Leucemias Agudas y Mielodisplasias) protocols from 2002 to 2018 were included. The 90-day incidence of any IFI (including possible cases) was 11% (95% CI 4-15%)  most cases occurred during induction chemotherapy (8%  95% CI 4-12%)  and most cases were probable/proven IPA (8%  95% CI 3-13%). Developing an IFI during induction and consolidation had no impact on 1-year survival. A case-control study with 23 cases of IPA and 69 controls identified induction/re-induction chemotherapy  chronic pulmonary disease and age<U+2009>&gt;<U+2009>60 years/poor baseline performance status as potential pretreatment risk factors. The current study proves that inpatient induction and consolidation chemotherapy for de novo AML can be given in areas with &quot;a priori&quot; high-burden of airborne molds with fluconazole prophylaxis  while the selective use of anti-mold prophylaxis in patients at very high risk may further reduce the incidence of IFI in this specific clinical scenario.
