"","TITLE","AUTHORS","PMID","YEAR","DOI","JOURNAL","LANGUAGE","COUNTRY","ABSTRACT"
"1","Somatic GATA2 mutations define a subgroup of myeloid malignancy patients at high risk for invasive fungal disease.","Vedula, RS","33570623",2021,"10.1182/bloodadvances.2020002854","Blood Adv","eng","United States","Invasive fungal disease (IFD) can be a severe treatment complication in patients with myeloid malignancies  but current risk models do not incorporate disease-specific factors  such as somatic gene mutations. Germline GATA2 deficiency is associated with a susceptibility to IFD. To determine whether myeloid gene mutations were associated with IFD risk  we identified 2 complementary cohorts of patients with myeloid malignancy  based on (1) the diagnosis of invasive aspergillosis (IA)  or (2) the presence of GATA2 mutations identified during standard clinical sequencing. We found somatic GATA2 mutations in 5 of 27 consecutive patients who had myeloid malignancy and developed IA. Among 51 consecutive patients with GATA2 mutations identified in the evaluation of myeloid malignancy  we found that IFD was diagnosed and treated in 21 (41%)  all of whom had received chemotherapy or had undergone an allogeneic stem cell transplant. Pulmonary infections and disseminated candidiasis were most common. The 90-day mortality was 52% among patients with IFD. Our results indicate that patients with somatic GATA2 mutations are a vulnerable subgroup of patients with myeloid malignancy who have high risk for treatment-associated IFD and suggest that a focused approach to antifungal prophylaxis be considered."
"2","Strategies for the Prevention of Invasive Fungal Infections after Lung Transplant.","Bitterman, R","33562370",2021,"10.3390/jof7020122","J Fungi (Basel)","eng","Switzerland","Long-term survival after lung transplantation is lower than that associated with other transplanted organs. Infectious complications  most importantly invasive fungal infections  have detrimental effects and are a major cause of morbidity and mortality in this population. Candida infections predominate in the early post-transplant period  whereas invasive mold infections  usually those related to Aspergillus  are most common later on. This review summarizes the epidemiology and risk factors for invasive fungal diseases in lung transplant recipients  as well as the current evidence on preventive measures. These measures include universal prophylaxis  targeted prophylaxis  and preemptive treatment. Although there is consensus that a preventive strategy should be implemented  current data show no superiority of one preventive measure over another. Data are also lacking regarding the optimal antifungal regimen and the duration of treatment. As all current recommendations are based on observational  single-center  single-arm studies  it is necessary that this longstanding debate is settled with a multicenter randomized controlled trial."
"3","Severe Influenza With Invasive Pulmonary Aspergillosis in Immunocompetent Hosts: A Retrospective Cohort Study.","Duan, Y","33537328",2021,"10.3389/fmed.2020.602732","Front Med (Lausanne)","eng","Switzerland","Background: Influenza was an independent risk factor for invasive pulmonary aspergillosis (IPA). In light of increasing incidence and mortality of influenza associated aspergillosis  our study summarized risk factors  clinical characteristics  and prognostic factors of developing aspergillosis in immunocompetent hosts with influenza to further screen high-risk population and improve outcome. Methods: We reviewed the patient characteristics  laboratory examinations  radiological imaging  and microbiology data of 72 influenza patients with IPA and 84 influenza patients without IPA admitted to West China Hospital. Result: Our study shown that aspergillosis co-infection increased overall mortality of severe influenza from 22.6 to 52.8%  along with higher white blood count (WBC) (10.9 ± 5.0 vs. 8.4 ± 3.3  P = 0.016)  Neutrophiles (9.5 ± 5.0 vs. 7.0 ± 3.8  P = 0.023)  procalcitonin (PCT) (8.6 ± 15.9 vs. 1.2 ± 2.1  P = 0.009)  and a lower CD4+ T cell count (189.2 ± 135.3 vs. 367.1 ± 280.0  P = 0.022) in death group. No impact of age  gender  underlying diseases  immunosuppressive agents and steroids use  CD4+ T cell count on incidence of influenza associated aspergillosis was observed. But influenza associated aspergillosis cases mostly accompanied with more H1N1 subtype (91.7 vs. 79.8%  P = 0.037) and higher level of C-reactive protein (CRP) (117.6 ± 88.1 vs. 78.5 ± 75.2  P = 0.017) and interleukin 6 (IL-6) (133.5 ± 149.2 vs. 69.9 ± 100.0  P = 0.021) than those without aspergillosis. Conclusion: Aspergillosis co-infection in severe influenza patients can lead to a significant increased mortality  which was associated with severe respiratory failure due to mixed infection and immunosuppression. Pulmonary excessive inflammatory response was related with IPA co-infection."
"4","Occurrence of Invasive Pulmonary Fungal Infections in Patients with Severe COVID-19 Admitted to the ICU.","Fekkar, A","33480831",2021,"10.1164/rccm.202009-3400OC","Am J Respir Crit Care Med","eng","United States","Rationale: Whether severe coronavirus disease (COVID-19) is a significant risk factor for the development of invasive fungal superinfections is of great medical interest and remains  for now  an open question.Objectives: We aim to assess the occurrence of invasive fungal respiratory superinfections in patients with severe COVID-19.Methods: We conducted the study on patients with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-related pneumonia admitted to five ICUs in France who had respiratory and serum sampling performed for specific screening of fungal complications.Measurements and Main Results: The study population included a total of 145 patients; the median age was 55 years old. Most of them were male (n<U+2009>=<U+2009>104; 72%)  were overweight (n<U+2009>=<U+2009>99; 68%)  and had hypertension (n<U+2009>=<U+2009>83; 57%) and diabetes (n<U+2009>=<U+2009>46; 32%). Few patients presented preexisting host risk factors for invasive fungal infection (n<U+2009>=<U+2009>20; 14%). Their global severity was high; all patients were on invasive mechanical ventilation  and half (n<U+2009>=<U+2009>73  54%) were on extracorporeal membrane oxygenation support. Mycological analysis included 2 815 mycological tests (culture  galactomannan  ß-glucan  and PCR) performed on 475 respiratory samples and 532 sera. A probable/putative invasive pulmonary mold infection was diagnosed in 7 (4.8%) patients and linked to high mortality. Multivariate analysis indicates a significantly higher risk for solid organ transplant recipients (odds ratio  <U+2009>=<U+2009>4.66; interquartile range  1.98-7.34; P<U+2009>=<U+2009>0.004). False-positive fungal test and clinically irrelevant colonization  which did not require the initiation of antifungal treatment  was observed in 25 patients (17.2%).Conclusions: In patients with no underlying immunosuppression  severe SARS-CoV-2-related pneumonia seems at low risk of invasive fungal secondary infection  especially aspergillosis."
"5","Targeted caspofungin prophylaxis for invasive aspergillosis in high-risk liver transplant recipients, a single-center experience.","Chakravarti, A","33450126",2021,"10.1111/tid.13568","Transpl Infect Dis","eng","Denmark","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Invasive aspergillosis (IA) is a rare but highly lethal complication after orthotopic liver transplantation (OLT). Targeted antifungal prophylaxis has been proposed as a strategy to prevent IA among orthotopic liver transplant recipient (OLTr)  but limited data are available to support its efficacy.                 Label=""METHOD"" NlmCategory=""METHODS"":We conducted a single-center  retrospective  before and after cohort study  comparing IA incidences among OLTr who did not receive antifungal prophylaxis after transplantation (cohort 1) to OLTr who received targeted antifungal prophylaxis after liver transplantation (cohort 2). Patients in cohort 2 received caspofungin prophylaxis if they presented one of the following risk factors: retransplantation  acute liver failure  dialysis  or Aspergillus colonization prior to transplantation. The primary outcome was IA at 90 days after transplantation.                 Label=""RESULTS"" NlmCategory=""RESULTS"":A total of 391 OLTr were included in the study; 181 patients in the cohort 1 (no prophylaxis) and 210 patients in the cohort 2 (targeted prophylaxis). Among patients in cohort 2  19% (40/ 210) were considered at high risk for IA and 85% (34/40) of those received caspofungin prophylaxis. The incidence of IA at 90 days was 3.3% (6/ 181) and 0.5% (1/ 210)  in cohort 1 and 2  respectively (OR 0.14; 95%CI 0.01-0.83; P = .03). Ninety-day mortality was similar among the two cohorts (3.9% (7/181) and 2.4% (5/210) in cohort 1 and 2  respectively (OR 0.61; 95% 0.18-1.93; P = .40)). The 90-day mortality among the OLTs with IA was 71% (5/7).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Targeted caspofungin prophylaxis was associated with lower rate of IA. "
"6","Evaluation of targeted versus universal prophylaxis for the prevention of invasive fungal infections following lung transplantation.","Linder, KA","33448560",2021,"10.1111/tid.13448","Transpl Infect Dis","eng","United States","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Antifungal prophylaxis to prevent invasive fungal infections (IFI) is widely used following lung transplantation  but the optimal strategy remains unclear. We compared universal with targeted antifungal prophylaxis for effectiveness in preventing IFI.                 Label=""METHODS"" NlmCategory=""METHODS"":Adult patients who underwent lung transplantation at the University of Michigan from /1 July 2014-31 December 2017 were studied for 18 months post-transplant. Universal prophylaxis consisted of itraconazole with or without inhaled liposomal amphotericin B. Using specific criteria  targeted prophylaxis was given with voriconazole for patients at risk for invasive pulmonary aspergillosis (IPA) and with fluconazole or micafungin for patients at risk for invasive candidiasis. Risk factors  occurrence of proven/probable IFI  and mortality were analyzed for the two prophylaxis cohorts.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Of 105 lung transplant recipients  84 (80%) received a double lung transplant  and 38 (36%) of patients underwent transplant for pulmonary fibrosis. Fifty-nine (56%) patients received universal antifungal prophylaxis  and 46 (44%)  targeted antifungal prophylaxis. Among 20 proven/probable IFI  there were 14 IPA  4 invasive candidiasis  1 cryptococcosis  and 1 deep sternal mold infection. Six (10%) IFI occurred in the universal prophylaxis cohort and 14 (30%) in the targeted prophylaxis cohort. Five of 6 (83%) IFI in the universal prophylaxis cohort  compared with 9/14 (64%) in the targeted prophylaxis cohort  were IPA Candida infections occurred only in the targeted prophylaxis cohort. The development of IFI was more likely in the targeted prophylaxis cohort than the universal prophylaxis cohort  HR = 4.32 (1.51-12.38)  P = .0064.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Universal antifungal prophylaxis appears to be more effective than targeted antifungal prophylaxis for prevention of IFI after lung transplant. "
"7","Opportunistic pathogenic fungal co-infections are prevalent in critically ill COVID-19 patients: Are they risk factors for disease severity?","Ezeokoli, OT","33403982",2021,NA,"S Afr Med J","eng","South Africa","Fungal co-infections  especially with Aspergillus and Candida species  are prevalent in hospitalised COVID-19 patients  and could influence patient outcomes and hamper treatment efforts. However  information about and elucidation of the causal relationship between fungal co-infections and COVID-19 disease outcomes or severity in patients are still lacking. Such information  if and when available  will help facilitate appropriate case management."
"8","Severe fever with thrombocytopenia syndrome (SFTS) associated with invasive pulmonary Aspergillosis in a patient with a low CD4+ T-cell count: A case report.","Kim, M","33376692",2020,"10.4103/IJCIIS.IJCIIS_96_19","Int J Crit Illn Inj Sci","eng","India","Severe fever with thrombocytopenia syndrome (SFTS) is associated with a high mortality caused by rapidly progressive multiple organ failure. SFTS virus induces immunosuppression  mediated by interleukin-10 production  reduction of CD3+ and CD4+ T cells  and cytokine storms  and this may lead to various complications in critical SFTS patients. Recently  there have been reports of cases of invasive pulmonary Aspergillosis (IPA) in patients with SFTS in the absence of predisposing factors of IPA. However  there is no known relationship between SFTS and mycosis. Here  we report a SFTS patient with a low CD4+ T-cell count and a high viral load  who developed possible IPA in the absence of common risk factors for mycosis. This case adds to the evidence that IPA may occur as a complication of SFTS."
"9","Invasive Pulmonary Aspergillosis with Hydropneumothorax in a Patient Taking High-Dose Glucocorticoids.","Dixit, D","33361740",2020,"10.12659/AJCR.928499","Am J Case Rep","eng","United States","BACKGROUND Invasive pulmonary aspergillosis (IPA) is a severe form of the fungal infection with relatively high mortality rates. Risk factors that lead to IPA include immunosuppression through corticosteroid use. IPA complicated by hydropneumothorax is rare and its mechanism of formation is unknown. CASE REPORT A 72-year-old woman recently diagnosed with a right frontal meningioma that was managed with dexamethasone presented with a new 3-day history of nonproductive cough  chest pain  and dyspnea and was managed for pneumonia. The patient failed to improve  prompting a follow-up computed tomography scan  which revealed a right middle lobe cavitary lesion. During the workup of this lesion  the patient's hospital course was complicated by hemoptysis and development of a large right hydropneumothorax that was successfully managed with a chest tube. Despite initial resolution of hydropneumothorax  the patient developed a right apical pneumothorax that gradually worsened. Bronchoscopy culture revealed Aspergillus fumigatus  leading to the diagnosis of IPA  which was managed with intravenous voriconazole. CONCLUSIONS Corticosteroid use with subsequent immunosuppression is a risk factor for developing IPA. Clinicians should include IPA in their differential diagnosis for respiratory infections in patients receiving corticosteroids. Although overall prognosis of IPA is poor  outcomes can be improved with early diagnosis  early empiric initiation of antifungals  and withdrawal of immunosuppressive therapy. IPA complicated by hydropneumothorax is a rare phenomenon with a poorly understood mechanism of formation. Based on our case  we propose a mechanism of hydropneumothorax formation from IPA."
"10","Risks of ventilator-associated pneumonia and invasive pulmonary aspergillosis in patients with viral acute respiratory distress syndrome related or not to Coronavirus 19 disease.","Razazi, K","33339526",2020,"10.1186/s13054-020-03417-0","Crit Care","eng","England","                 Label=""BACKGROUND"":Data on incidence of ventilator-associated pneumonia (VAP) and invasive pulmonary aspergillosis in patients with severe SARS-CoV-2 infection are limited.                 Label=""METHODS"":We conducted a monocenter retrospective study comparing the incidence of VAP and invasive aspergillosis between patients with COVID-19-related acute respiratory distress syndrome (C-ARDS) and those with non-SARS-CoV-2 viral ARDS (NC-ARDS).                 Label=""RESULTS"":We assessed 90 C-ARDS and 82 NC-ARDS patients  who were mechanically ventilated for more than 48 h. At ICU admission  there were significantly fewer bacterial coinfections documented in C-ARDS than in NC-ARDS: 14 (16%) vs 38 (48%)  p<U+2009>&lt;<U+2009>0.01. Conversely  significantly more patients developed at least one VAP episode in C-ARDS as compared with NC-ARDS: 58 (64%) vs. 36 (44%)  p<U+2009>=<U+2009>0.007. The probability of VAP was significantly higher in C-ARDS after adjusting on death and ventilator weaning [sub-hazard ratio<U+2009>=<U+2009>1.72 (1.14-2.52)  p<U+2009>&lt;<U+2009>0.01]. The incidence of multi-drug-resistant bacteria (MDR)-related VAP was significantly higher in C-ARDS than in NC-ARDS: 21 (23%) vs. 9 (11%)  p<U+2009>=<U+2009>0.03. Carbapenem was more used in C-ARDS than in NC-ARDS: 48 (53%)  vs 21 (26%)  p<U+2009>&lt;<U+2009>0.01. According to AspICU algorithm  there were fewer cases of putative aspergillosis in C-ARDS than in NC-ARDS [2 (2%) vs. 12 (15%)  p<U+2009>=<U+2009>0.003]  but there was no difference in Aspergillus colonization.                 Label=""CONCLUSIONS"":In our experience  we evidenced a higher incidence of VAP and MDR-VAP in C-ARDS than in NC-ARDS and a lower risk for invasive aspergillosis in the former group. "
